index,state,cities 
1,ANDHRA PRADESH,302
2,ARUNACHAL PRADESH,23
3,ASSAM,113
4,BIHAR,79
5,CHHATTISGARH,55
6,DELHI,2
7,GOA,6
8,GUJARAT,135
9,HARIYANA,66
10,HIMACHAL PRADESH,86
11,JAMMU AND KASHMIR,49
12,JHARKHAND,46
13,KARNATAKA,127
14,KERALA,146
15,MADHYA PRADESH,194
16,MAHARASHTRA,179
17,MANIPUR,25
18,MEGHALAYA,14
19,MIZORAM,17
20,NAGALAND,18
21,ORISSA,68
22,PUNJAB,105
23,RAJASTHAN,113
24,SIKKIM,6
25,TAMILNADU,201
26,TRIPURA,17
27,UTTARANCHAL,68
28,UTTAR PRADESH,350
29,WEST BENGAL,127
30,UNION TERRITORY,4